ticker,exchange,bs_n,bs_first,bs_last,cf_n,cf_first,cf_last,n_assets,n_capex,n_assets_2011_2025,n_capex_2011_2025,both_60q,name,country,currency,exchange_meta,sector,industry,isin,market_cap,exchange_code,smim_sector,latest_assets,size_proxy,isin_clean
SEB-A,ST,68,2009-03-31,2025-12-31,68,2009-03-31,2025-12-31,65,68,60,60,1,Skandinaviska Enskilda Banken AB (publ),SE,SEK,ST,Financial Services,Banks - Regional,SE0000148884,,ST,financials,4129644000000.0,4129644000000.0,SE0000148884
DNB,OL,96,2000-06-30,2026-03-31,89,2004-03-31,2026-03-31,96,89,60,60,1,DnB ASA,NO,NOK,OL,Financial Services,Banks - Regional,NO0010161896,,OL,financials,3896408000000.0,3896408000000.0,NO0010161896
SHB-A,ST,60,2011-03-31,2026-03-31,59,2011-03-31,2026-03-31,57,59,56,58,1,Svenska Handelsbanken AB (publ),SE,SEK,ST,Financial Services,Banks - Diversified,SE0007100599,,ST,financials,3756288000000.0,3756288000000.0,SE0007100599
SHB-B,ST,60,2011-03-31,2026-03-31,59,2011-03-31,2026-03-31,57,59,56,58,1,Svenska Handelsbanken AB (publ),SE,SEK,ST,Financial Services,Banks - Diversified,SE0007100607,,ST,financials,3756288000000.0,3756288000000.0,SE0007100607
DANSKE,CO,96,2000-06-30,2025-12-31,87,2004-03-31,2025-12-31,96,87,60,60,1,Danske Bank A/S,DK,DKK,CO,Financial Services,Banks - Regional,DK0010274414,,CO,financials,3709808000000.0,3709808000000.0,DK0010274414
SWED-A,ST,68,2009-03-31,2025-12-31,66,2009-03-31,2025-12-31,65,66,60,60,1,Swedbank AB (publ),SE,SEK,ST,Financial Services,Banks - Regional,SE0000242455,,ST,financials,3079424000000.0,3079424000000.0,SE0000242455
HSBA,LSE,108,1999-03-31,2025-12-31,78,2007-03-31,2025-12-31,91,78,61,64,1,HSBC Holdings PLC,GB,GBX,LSE,Financial Services,Banks - Diversified,GB0005405286,,LSE,financials,3000517000000.0,3000517000000.0,GB0005405286
BNP,XETRA,77,2003-06-30,2025-12-31,88,2003-12-31,2025-12-31,65,88,56,59,1,BNP Paribas SA,DE,EUR,XETRA,Financial Services,Banks - Regional,FR0000131104,,XETRA,financials,2700042000000.0,2700042000000.0,FR0000131104
ACA,PA,66,2009-09-30,2025-12-31,89,2003-12-31,2025-12-31,63,89,59,60,1,Credit Agricole SA,FR,EUR,PA,Financial Services,Banks - Regional,FR0000045072,,PA,financials,2211600000000.0,2211600000000.0,FR0000045072
SAN,MC,156,1987-03-31,2025-12-31,88,2004-03-31,2025-12-31,116,88,60,60,1,Banco Santander S.A.,ES,EUR,MC,Financial Services,Banks - Diversified,ES0113900J37,,MC,financials,1800006000000.0,1800006000000.0,ES0113900J37
